,model,architectures,model_type,number_of_parameters,number_of_labels,labels,memory_consumption,dataset,accuracy
0,sheared-llama-1-3b,llama,llama,3000000000.0,,,12000000000.0,PIQA,0.7340000000000001
1,orca-2-7b,orca,orca,7000000000.0,,,28000000000.0,DROP Test,0.6026
2,orca-2-13b,orca,orca,13000000000.0,,,52000000000.0,DROP Test,0.5797
3,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_boolean_expressions,0.756
4,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_causal_judgement,0.4705882352941176
5,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_date_understanding,0.264
6,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_disambiguation_qa,0.324
7,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_formal_fallacies,0.456
8,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_geometric_shapes,0.244
9,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_hyperbaton,0.484
10,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_logical_deduction_seven_objects,0.144
11,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_logical_deduction_three_objects,0.352
12,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_movie_recommendation,0.432
13,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_navigate,0.548
14,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_object_counting,0.292
15,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_penguins_in_a_table,0.2465753424657534
16,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_reasoning_about_colored_objects,0.168
17,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_salient_translation_error_detection,0.168
18,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_snarks,0.4269662921348314
19,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_temporal_sequences,0.148
20,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_tracking_shuffled_objects_five_objects,0.184
21,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_tracking_shuffled_objects_seven_objects,0.128
22,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_tracking_shuffled_objects_three_objects,0.34
23,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_web_of_lies,0.488
24,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,gpqa,0.2692953020134228
25,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,gpqa_diamond,0.2525252525252525
26,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,gpqa_extended,0.2747252747252747
27,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,GPQA,0.2700892857142857
28,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,math_hard,0.0203927492447129
29,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,math_intermediate_algebra_hard,0.0035714285714285
30,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,math_num_theory_hard,0.0129870129870129
31,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,math_precalculus_hard,0.0037037037037037
32,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,MMLU-Pro,0.1497672872340425
33,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,musr_murder_mysteries,0.496
34,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,musr_object_placements,0.22265625
35,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,musr_team_allocation,0.272
36,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,Big-bench Hard,0.5299427182780767
37,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_boolean_expressions,0.88
38,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_causal_judgement,0.6256684491978609
39,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_date_understanding,0.652
40,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_disambiguation_qa,0.748
41,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_formal_fallacies,0.62
42,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_geometric_shapes,0.3
43,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_hyperbaton,0.848
44,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_logical_deduction_five_objects,0.508
45,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_logical_deduction_seven_objects,0.508
46,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_logical_deduction_three_objects,0.788
47,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_movie_recommendation,0.712
48,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_navigate,0.612
49,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_object_counting,0.396
50,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_penguins_in_a_table,0.4657534246575342
51,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_reasoning_about_colored_objects,0.512
52,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_ruin_names,0.484
53,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_salient_translation_error_detection,0.496
54,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_snarks,0.7134831460674157
55,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_sports_understanding,0.604
56,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_temporal_sequences,0.26
57,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_tracking_shuffled_objects_five_objects,0.136
58,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_tracking_shuffled_objects_seven_objects,0.156
59,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,bbh_tracking_shuffled_objects_three_objects,0.264
60,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,gpqa,0.3213087248322148
61,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,gpqa_diamond,0.3333333333333333
62,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,gpqa_extended,0.3131868131868132
63,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,GPQA,0.3258928571428571
64,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,math_algebra_hard,0.2149837133550488
65,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,math_counting_and_prob_hard,0.1138211382113821
66,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,math_hard,0.1132930513595166
67,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,math_intermediate_algebra_hard,0.0160714285714285
68,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,math_num_theory_hard,0.0568181818181818
69,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,math_prealgebra_hard,0.2603626943005181
70,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,math_precalculus_hard,0.0296296296296296
71,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,MMLU-Pro,0.3881316489361702
72,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,musr,0.4523809523809524
73,10prymmal-3b-slerp,unknown,unknown,3000000000.0,,,12000000000.0,musr_murder_mysteries,0.56
74,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,Big-bench Hard,0.5203957646241972
75,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_causal_judgement,0.5882352941176471
76,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_date_understanding,0.552
77,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_disambiguation_qa,0.76
78,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_formal_fallacies,0.604
79,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_geometric_shapes,0.312
80,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_hyperbaton,0.812
81,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_logical_deduction_five_objects,0.52
82,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_logical_deduction_three_objects,0.756
83,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_movie_recommendation,0.652
84,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_navigate,0.62
85,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_object_counting,0.372
86,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_penguins_in_a_table,0.4520547945205479
87,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_reasoning_about_colored_objects,0.492
88,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_ruin_names,0.544
89,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_salient_translation_error_detection,0.508
90,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_snarks,0.651685393258427
91,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_sports_understanding,0.576
92,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_tracking_shuffled_objects_five_objects,0.128
93,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_tracking_shuffled_objects_three_objects,0.276
94,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,bbh_web_of_lies,0.5
95,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,gpqa,0.299496644295302
96,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,gpqa_diamond,0.3232323232323232
97,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,GPQA,0.3214285714285714
98,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,math_counting_and_prob_hard,0.0772357723577235
99,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,math_hard,0.0925226586102719
100,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,math_num_theory_hard,0.0357142857142857
101,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,math_prealgebra_hard,0.2227979274611399
102,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,MMLU-Pro,0.3769115691489361
103,10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi,phi,,,,,musr,0.4298941798941799
104,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,Big-bench Hard,0.3292831105710814
105,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_boolean_expressions,0.764
106,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_causal_judgement,0.46524064171123
107,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_date_understanding,0.296
108,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_disambiguation_qa,0.34
109,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_geometric_shapes,0.128
110,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_hyperbaton,0.484
111,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_logical_deduction_five_objects,0.228
112,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_logical_deduction_three_objects,0.348
113,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_movie_recommendation,0.476
114,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_object_counting,0.296
115,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_reasoning_about_colored_objects,0.164
116,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_ruin_names,0.108
117,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_salient_translation_error_detection,0.18
118,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_snarks,0.4157303370786517
119,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_temporal_sequences,0.136
120,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_tracking_shuffled_objects_five_objects,0.2
121,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_tracking_shuffled_objects_seven_objects,0.116
122,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_tracking_shuffled_objects_three_objects,0.36
123,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_web_of_lies,0.488
124,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,gpqa,0.2793624161073825
125,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,gpqa_diamond,0.2676767676767677
126,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,gpqa_extended,0.2912087912087912
127,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,GPQA,0.2700892857142857
128,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,math_algebra_hard,0.0325732899022801
129,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,math_counting_and_prob_hard,0.0
130,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,math_intermediate_algebra_hard,0.0071428571428571
131,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,math_num_theory_hard,0.0097402597402597
132,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,math_prealgebra_hard,0.0284974093264248
133,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,math_precalculus_hard,0.0
134,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,MMLU-Pro,0.1540890957446808
135,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,musr,0.3293650793650793
136,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,musr_murder_mysteries,0.508
137,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,musr_object_placements,0.22265625
138,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,Big-bench Hard,0.4770005207429266
139,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_boolean_expressions,0.832
140,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_causal_judgement,0.679144385026738
141,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_formal_fallacies,0.524
142,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_geometric_shapes,0.372
143,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_hyperbaton,0.516
144,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_logical_deduction_seven_objects,0.324
145,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_movie_recommendation,0.8
146,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_navigate,0.492
147,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_object_counting,0.332
148,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_reasoning_about_colored_objects,0.472
149,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_ruin_names,0.468
150,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_salient_translation_error_detection,0.432
151,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_sports_understanding,0.696
152,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_temporal_sequences,0.244
153,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_tracking_shuffled_objects_five_objects,0.18
154,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_tracking_shuffled_objects_seven_objects,0.124
155,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,bbh_web_of_lies,0.492
156,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,gpqa_extended,0.2838827838827839
157,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,GPQA,0.2611607142857143
158,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,math_counting_and_prob_hard,0.073170731707317
159,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,math_geometry_hard,0.0378787878787878
160,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,math_hard,0.0634441087613293
161,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,math_intermediate_algebra_hard,0.0178571428571428
162,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,math_prealgebra_hard,0.1347150259067357
163,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,math_precalculus_hard,0.0074074074074074
164,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,MMLU-Pro,0.2507480053191489
165,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,musr,0.369047619047619
166,12b-mn-dans-reasoning-test-2,dans,dans,12000000000.0,,,48000000000.0,musr_object_placements,0.22265625
167,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,Big-bench Hard,0.4829022739107794
168,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_boolean_expressions,0.824
169,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_causal_judgement,0.6310160427807486
170,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_date_understanding,0.56
171,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_disambiguation_qa,0.532
172,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_formal_fallacies,0.468
173,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_geometric_shapes,0.464
174,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_hyperbaton,0.588
175,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_logical_deduction_five_objects,0.36
176,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_logical_deduction_seven_objects,0.304
177,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_logical_deduction_three_objects,0.512
178,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_object_counting,0.336
179,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_penguins_in_a_table,0.410958904109589
180,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_reasoning_about_colored_objects,0.416
181,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_ruin_names,0.728
182,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_salient_translation_error_detection,0.472
183,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_snarks,0.5393258426966292
184,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_sports_understanding,0.688
185,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_temporal_sequences,0.248
186,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_tracking_shuffled_objects_five_objects,0.224
187,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_tracking_shuffled_objects_seven_objects,0.144
188,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,bbh_tracking_shuffled_objects_three_objects,0.348
189,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,gpqa,0.2709731543624161
190,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,gpqa_diamond,0.2474747474747475
191,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,gpqa_extended,0.2783882783882784
192,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,GPQA,0.2723214285714285
193,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,math_algebra_hard,0.1172638436482084
194,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,math_counting_and_prob_hard,0.073170731707317
195,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,math_geometry_hard,0.0378787878787878
196,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,math_hard,0.0777945619335347
197,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,math_intermediate_algebra_hard,0.0321428571428571
198,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,math_num_theory_hard,0.0454545454545454
199,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,math_prealgebra_hard,0.1813471502590673
200,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,math_precalculus_hard,0.0148148148148148
201,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,MMLU-Pro,0.2515791223404255
202,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,musr,0.4153439153439153
203,12b-mn-dans-reasoning-test-3,dans,dans,12000000000.0,,,48000000000.0,musr_murder_mysteries,0.528
