dataset_a,dataset_b,weight,n_shared_models
math_prealgebra_hard,math_geometry_hard,0.8849538527043632,2223
math_prealgebra_hard,math_precalculus_hard,0.8738197048642896,2279
math_prealgebra_hard,math_intermediate_algebra_hard,0.860201128353102,2303
math_prealgebra_hard,MMLU-Pro,0.7943388652378622,2
math_prealgebra_hard,Big-bench Hard,0.7636523241696315,2258
math_prealgebra_hard,bbh_logical_deduction_three_objects,0.7620735627484183,3
math_precalculus_hard,math_intermediate_algebra_hard,0.9543246957005617,2210
math_precalculus_hard,math_num_theory_hard,0.9428537529452776,2195
math_precalculus_hard,math_geometry_hard,0.9401037997115752,2207
math_precalculus_hard,math_hard,0.9394765891414462,2251
math_precalculus_hard,math_counting_and_prob_hard,0.9381056060573751,2191
math_precalculus_hard,math_algebra_hard,0.900504014913806,2200
math_precalculus_hard,math_prealgebra_hard,0.8738197048642896,2209
math_precalculus_hard,bbh_formal_fallacies,0.7230550281289442,8
math_precalculus_hard,PIQA,0.6870503256741403,2228
math_precalculus_hard,MMLU-Pro,0.679556047012434,2
musr,PIQA (5-shot),0.910914532055892,2226
musr,PopQA,0.8111929039930172,2
musr,musr_team_allocation,0.8111897858749394,2220
musr,musr_object_placements,0.7590791834755481,2185
musr,gpqa,0.7097696416816801,2242
musr,bbh_logical_deduction_three_objects,0.7091426449477338,1
musr,Big-bench Hard,0.7038842019899667,2207
musr,GPQA,0.6909707560306456,1
musr,MMLU-Pro,0.6905649145748548,1
musr,bbh_logical_deduction_five_objects,0.6895397624998357,2
musr_murder_mysteries,musr,0.6627774987879984,2237
musr_murder_mysteries,Big-bench Hard,0.6562136384398344,2199
musr_murder_mysteries,PIQA,0.6491664203484909,1
musr_murder_mysteries,bbh_salient_translation_error_detection,0.6438057405034149,2208
musr_murder_mysteries,bbh_reasoning_about_colored_objects,0.642636927763587,2
musr_murder_mysteries,bbh_causal_judgement,0.6300783623939825,1
musr_murder_mysteries,MMLU-Pro,0.610069427341881,2
musr_murder_mysteries,bbh_ruin_names,0.6094359541200816,1
musr_murder_mysteries,bbh_penguins_in_a_table,0.6090991282246415,2
musr_murder_mysteries,bbh_logical_deduction_seven_objects,0.6044875962176953,7
musr_object_placements,PIQA (5-shot),0.786839257901714,2265
musr_object_placements,NQ,0.7741891513998184,2
musr_object_placements,musr,0.7590791834755481,2261
musr_object_placements,PopQA,0.672792954910463,2
musr_object_placements,GPQA,0.5670907753547262,2245
musr_object_placements,gpqa,0.5544097805863554,2270
musr_object_placements,musr_murder_mysteries,0.5355033424260407,2250
musr_object_placements,gpqa_diamond,0.5254153522863851,2264
musr_object_placements,ARC (AI2 Reasoning Challenge),0.5224542753474427,128
musr_object_placements,bbh_disambiguation_qa,0.5104236606653392,4
musr_team_allocation,PopQA (15 shot),0.8403732754470143,1
musr_team_allocation,musr,0.8111897858749394,2185
musr_team_allocation,PIQA,0.7069077097479883,2216
musr_team_allocation,TriviaQA,0.7030739911142017,1
musr_team_allocation,NQ,0.6534594217586953,1
musr_team_allocation,bbh_formal_fallacies,0.5438745306559359,8
musr_team_allocation,bbh_logical_deduction_three_objects,0.5362638009925037,3
musr_team_allocation,bbh_penguins_in_a_table,0.5269786679624242,2192
musr_team_allocation,ARC (tr),0.5215676367312471,4
musr_team_allocation,bbh_temporal_sequences,0.5166944121594745,2193
